
     ***************************************
                   第    1   荷载步
     ***************************************


              节点位移 
=======================================

 节点号        u            V            W           Rx           Ry           Rz
   7    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   8    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
   9    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  10    -8.10e-005     0.00e+000     0.00e+000    -1.46e-006    -3.37e-019     2.58e-033
  11    -8.10e-005     0.00e+000     0.00e+000    -1.46e-006    -3.37e-019     2.58e-033
  12    -9.41e-005     0.00e+000     0.00e+000    -1.46e-006    -6.74e-019     2.92e-033
  13    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  14    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  15    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  16    -5.47e-005     0.00e+000     0.00e+000    -1.46e-006     3.37e-019     2.65e-033
  17    -5.47e-005     0.00e+000     0.00e+000    -1.46e-006     3.37e-019     2.65e-033
  18    -4.16e-005     0.00e+000     0.00e+000    -1.46e-006     6.75e-019     3.01e-033
  19    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  20    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  21    -6.78e-005     0.00e+000     0.00e+000    -1.46e-006     3.92e-023     2.93e-033
  22    -8.10e-005     0.00e+000     0.00e+000    -1.46e-006    -3.37e-019     2.58e-033
  23    -8.10e-005     0.00e+000     0.00e+000    -1.46e-006    -3.37e-019     2.58e-033
  24    -9.41e-005     0.00e+000     0.00e+000    -1.46e-006    -6.74e-019     2.92e-033
 单元号：              9
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
   2    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
   3    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
   4    -6.04e-005     0.00e+000     0.00e+000    -1.66e-006     3.61e-019    -2.93e-033
   5    -6.04e-005     0.00e+000     0.00e+000    -1.66e-006     3.61e-019    -2.93e-033
   6    -5.42e-005     0.00e+000     0.00e+000    -1.66e-006     7.22e-019    -2.65e-033
   7    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
   8    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
   9    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  10    -7.29e-005     0.00e+000     0.00e+000    -1.66e-006    -3.61e-019    -2.97e-033
  11    -7.29e-005     0.00e+000     0.00e+000    -1.66e-006    -3.61e-019    -2.97e-033
  12    -7.92e-005     0.00e+000     0.00e+000    -1.66e-006    -7.22e-019    -2.67e-033
  13    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  14    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  15    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  16    -6.04e-005     0.00e+000     0.00e+000    -1.66e-006     3.61e-019    -2.93e-033
  17    -6.04e-005     0.00e+000     0.00e+000    -1.66e-006     3.61e-019    -2.93e-033
  18    -5.42e-005     0.00e+000     0.00e+000    -1.66e-006     7.22e-019    -2.65e-033
  19    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  20    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  21    -6.67e-005     0.00e+000     0.00e+000    -1.66e-006     3.97e-023    -2.77e-033
  22    -7.29e-005     0.00e+000     0.00e+000    -1.66e-006    -3.61e-019    -2.97e-033
  23    -7.29e-005     0.00e+000     0.00e+000    -1.66e-006    -3.61e-019    -2.97e-033
  24    -7.92e-005     0.00e+000     0.00e+000    -1.66e-006    -7.22e-019    -2.67e-033
 单元号：             10
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
   2    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
   3    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
   4    -6.68e-005     0.00e+000     0.00e+000    -1.70e-006     3.15e-019    -1.88e-033
   5    -6.68e-005     0.00e+000     0.00e+000    -1.70e-006     3.15e-019    -1.88e-033
   6    -6.79e-005     0.00e+000     0.00e+000    -1.70e-006     6.29e-019    -1.44e-033
   7    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
   8    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
   9    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  10    -6.46e-005     0.00e+000     0.00e+000    -1.70e-006    -3.15e-019    -1.90e-033
  11    -6.46e-005     0.00e+000     0.00e+000    -1.70e-006    -3.15e-019    -1.90e-033
  12    -6.35e-005     0.00e+000     0.00e+000    -1.70e-006    -6.29e-019    -1.39e-033
  13    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  14    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  15    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  16    -6.68e-005     0.00e+000     0.00e+000    -1.70e-006     3.15e-019    -1.88e-033
  17    -6.68e-005     0.00e+000     0.00e+000    -1.70e-006     3.15e-019    -1.88e-033
  18    -6.79e-005     0.00e+000     0.00e+000    -1.70e-006     6.29e-019    -1.44e-033
  19    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  20    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  21    -6.57e-005     0.00e+000     0.00e+000    -1.70e-006     4.03e-023    -1.47e-033
  22    -6.46e-005     0.00e+000     0.00e+000    -1.70e-006    -3.15e-019    -1.90e-033
  23    -6.46e-005     0.00e+000     0.00e+000    -1.70e-006    -3.15e-019    -1.90e-033
  24    -6.35e-005     0.00e+000     0.00e+000    -1.70e-006    -6.29e-019    -1.39e-033
 单元号：             11
高斯点     Stra11       Stra22        Stra33        Stra12        Stra13        Stra23
   1    -6.49e-005     0.00e+000     0.00e+000    -1.60e-006     4.09e-023     8.49e-033
   2    -6.49e-005     0.00e+000     0.00e+000    -1.60e-006     4.09e-023     8.49e-033
   3    -6.49e-005     0.00e+000     0.00e+000    -1.60e-006     4.09e-023     8.49e-033
   4    -7.30e-005     0.00e+000     0.00e+000    -1.60e-006     2.71e-019     8.75e-033
   5    -7.30e-005     0.00e+000     0.00e+000    -1.60e-006     2.71e-019     8.75e-033
   6    -8.12e-005     0.00e+000     0.00e+000    -1.60e-006     5.41e-019     8.72e-033
   7    -6.49e-005     0.00e+000     0.00e+000    -1.60e-006     4.09e-023     8.49e-033
   8    -6.49e-005     0.00e+000     0.00e+000    -1.60e-006     4.09e-023     8.49e-033
